ano,mes,data,regiao,uf,cidade,tipo_acidente,periodo_dia,acidentes,feridos,mortes,chuva_mm,visibilidade,veiculos_envolvidos,nivel_gravidade
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Atropelamento,Manh?,17,15,1,9.4,Muito ruim,32,Cr?tico
2015,1,2015-01-01,Sudeste,RJ,Niter?i,Colis?o,Tarde,35,29,1,49.3,Boa,68,Cr?tico
2015,1,2015-01-01,Sudeste,RJ,Nova Igua?u,Colis?o,Noite,45,23,1,45.4,Moderada,96,Cr?tico
2015,1,2015-01-01,Sudeste,RJ,Petr?polis,Colis?o,Tarde,39,31,0,53.7,Boa,61,Cr?tico
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Atropelamento,Manh?,30,25,1,90.2,Muito ruim,43,Cr?tico
2015,1,2015-01-01,Sudeste,MG,Uberl?ndia,Capotamento,Noite,26,21,1,3.7,Boa,46,Cr?tico
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Capotamento,Madrugada,33,23,0,73.6,Ruim,53,Grave
2015,1,2015-01-01,Sudeste,ES,Vit?ria,Capotamento,Noite,27,12,0,73.3,Ruim,46,Moderado
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Colis?o,Manh?,31,20,1,55.9,Moderada,56,Cr?tico
2015,1,2015-01-01,Sudeste,ES,Serra,Sa?da de pista,Tarde,17,14,0,11.3,Boa,29,Moderado
2015,1,2015-01-01,Sul,PR,Curitiba,Colis?o,Tarde,25,15,1,44.0,Moderada,36,Cr?tico
2015,1,2015-01-01,Sul,PR,Londrina,Colis?o,Noite,27,12,0,59.4,Ruim,40,Moderado
2015,1,2015-01-01,Sul,SC,Florian?polis,Capotamento,Noite,16,12,0,36.9,Boa,33,Leve
2015,1,2015-01-01,Sul,SC,Joinville,Capotamento,Tarde,22,18,1,80.3,Ruim,37,Cr?tico
2015,1,2015-01-01,Sul,RS,Porto Alegre,Sa?da de pista,Manh?,14,6,1,23.6,Ruim,29,Grave
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Capotamento,Tarde,20,11,0,56.0,Ruim,36,Leve
2015,2,2015-02-01,Norte,AM,Manaus,Colis?o,Noite,26,20,1,76.8,Ruim,44,Cr?tico
2015,2,2015-02-01,Norte,PA,Bel?m,Colis?o,Noite,25,13,1,117.3,Boa,45,Cr?tico
2015,2,2015-02-01,Norte,PA,Santar?m,Colis?o,Tarde,18,11,0,53.6,Ruim,38,Leve
2015,2,2015-02-01,Norte,RO,Porto Velho,Colis?o,Madrugada,28,23,1,64.2,Moderada,60,Cr?tico
2015,2,2015-02-01,Norte,TO,Palmas,Colis?o,Tarde,18,10,1,0.8,Muito ruim,26,Cr?tico
2015,2,2015-02-01,Nordeste,BA,Salvador,Atropelamento,Noite,21,19,1,76.4,Ruim,38,Cr?tico
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Colis?o,Tarde,17,12,1,26.0,Moderada,30,Grave
2015,2,2015-02-01,Nordeste,PE,Recife,Colis?o,Tarde,27,21,1,76.8,Muito ruim,51,Cr?tico
2015,2,2015-02-01,Nordeste,PE,Jaboat?o dos Guararapes,Capotamento,Tarde,21,16,0,51.2,Moderada,37,Moderado
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Capotamento,Noite,19,15,1,0.0,Moderada,35,Cr?tico
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Atropelamento,Manh?,11,10,1,73.2,Ruim,20,Grave
2015,2,2015-02-01,Nordeste,MA,S?o Lu?s,Capotamento,Noite,23,19,2,32.0,Ruim,42,Cr?tico
2015,2,2015-02-01,Nordeste,PB,Jo?o Pessoa,Colis?o,Tarde,19,16,0,71.8,Moderada,28,Moderado
2015,2,2015-02-01,Centro-Oeste,DF,Bras?lia,Capotamento,Noite,14,7,0,26.2,Moderada,30,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Goi?nia,Capotamento,Manh?,15,13,0,17.7,Moderada,28,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goi?nia,Capotamento,Tarde,18,8,0,62.8,Muito ruim,32,Moderado
2015,2,2015-02-01,Centro-Oeste,MT,Cuiab?,Capotamento,Manh?,9,5,0,24.5,Moderada,17,Leve
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Sa?da de pista,Tarde,13,9,0,39.5,Moderada,26,Leve
2015,2,2015-02-01,Sudeste,SP,S?o Paulo,Sa?da de pista,Manh?,21,15,1,0.5,Ruim,39,Cr?tico
2015,2,2015-02-01,Sudeste,SP,Campinas,Colis?o,Tarde,41,21,0,56.8,Moderada,77,Grave
2015,2,2015-02-01,Sudeste,SP,Ribeir?o Preto,Atropelamento,Tarde,31,18,1,46.1,Ruim,55,Cr?tico
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Colis?o,Madrugada,34,20,1,43.1,Boa,68,Cr?tico
2015,2,2015-02-01,Sudeste,RJ,Niter?i,Colis?o,Tarde,34,25,2,73.1,Ruim,73,Cr?tico
2015,2,2015-02-01,Sudeste,RJ,Nova Igua?u,Atropelamento,Manh?,23,22,1,48.5,Moderada,40,Cr?tico
2015,2,2015-02-01,Sudeste,RJ,Petr?polis,Capotamento,Manh?,24,20,1,13.0,Muito ruim,47,Cr?tico
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Atropelamento,Madrugada,31,22,1,47.8,Boa,64,Cr?tico
2015,2,2015-02-01,Sudeste,MG,Uberl?ndia,Sa?da de pista,Manh?,24,12,1,72.1,Muito ruim,42,Cr?tico
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Capotamento,Manh?,23,19,0,48.8,Moderada,45,Moderado
2015,2,2015-02-01,Sudeste,ES,Vit?ria,Atropelamento,Noite,23,13,1,42.0,Boa,37,Cr?tico
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Colis?o,Madrugada,37,30,2,61.7,Boa,59,Cr?tico
2015,2,2015-02-01,Sudeste,ES,Serra,Atropelamento,Noite,17,16,1,8.6,Muito ruim,32,Cr?tico
2015,2,2015-02-01,Sul,PR,Curitiba,Atropelamento,Tarde,14,13,1,20.5,Ruim,25,Grave
2015,2,2015-02-01,Sul,PR,Londrina,Colis?o,Manh?,21,11,0,68.1,Ruim,34,Moderado
2015,2,2015-02-01,Sul,SC,Florian?polis,Atropelamento,Manh?,12,7,0,24.4,Boa,24,Leve
2015,2,2015-02-01,Sul,SC,Joinville,Colis?o,Tarde,19,9,1,60.1,Ruim,29,Grave
2015,2,2015-02-01,Sul,RS,Porto Alegre,Capotamento,Manh?,13,8,0,67.8,Ruim,26,Leve
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Atropelamento,Noite,17,10,1,22.5,Moderada,26,Grave
2015,3,2015-03-01,Norte,AM,Manaus,Colis?o,Tarde,17,14,1,44.0,Boa,36,Grave
2015,3,2015-03-01,Norte,PA,Bel?m,Capotamento,Noite,16,11,1,26.2,Ruim,29,Grave
2015,3,2015-03-01,Norte,PA,Santar?m,Capotamento,Noite,11,9,0,12.7,Moderada,20,Leve
2015,3,2015-03-01,Norte,RO,Porto Velho,Colis?o,Madrugada,24,12,2,39.8,Muito ruim,39,Cr?tico
2015,3,2015-03-01,Norte,TO,Palmas,Atropelamento,Noite,16,12,1,62.3,Muito ruim,22,Cr?tico
2015,3,2015-03-01,Nordeste,BA,Salvador,Capotamento,Tarde,20,10,1,62.1,Moderada,28,Grave
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Colis?o,Tarde,18,9,0,36.5,Boa,36,Leve
2015,3,2015-03-01,Nordeste,PE,Recife,Atropelamento,Noite,15,8,2,0.0,Ruim,32,Cr?tico
2015,3,2015-03-01,Nordeste,PE,Jaboat?o dos Guararapes,Colis?o,Noite,30,14,2,78.5,Muito ruim,62,Cr?tico
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Capotamento,Noite,24,13,1,40.2,Moderada,42,Cr?tico
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Colis?o,Madrugada,20,17,0,4.2,Ruim,27,Moderado
2015,3,2015-03-01,Nordeste,MA,S?o Lu?s,Colis?o,Noite,25,11,0,8.7,Moderada,53,Moderado
2015,3,2015-03-01,Nordeste,PB,Jo?o Pessoa,Sa?da de pista,Manh?,13,6,0,41.9,Ruim,25,Leve
2015,3,2015-03-01,Centro-Oeste,DF,Bras?lia,Colis?o,Madrugada,20,15,1,27.6,Boa,32,Cr?tico
2015,3,2015-03-01,Centro-Oeste,GO,Goi?nia,Atropelamento,Noite,15,13,1,40.2,Moderada,32,Grave
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goi?nia,Capotamento,Noite,14,10,0,43.3,Ruim,25,Leve
2015,3,2015-03-01,Centro-Oeste,MT,Cuiab?,Capotamento,Noite,11,9,0,34.6,Boa,21,Leve
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Capotamento,Noite,16,9,0,45.1,Moderada,30,Leve
2015,3,2015-03-01,Sudeste,SP,S?o Paulo,Sa?da de pista,Noite,32,25,2,51.6,Ruim,59,Cr?tico
2015,3,2015-03-01,Sudeste,SP,Campinas,Sa?da de pista,Tarde,27,16,0,55.9,Ruim,49,Moderado
2015,3,2015-03-01,Sudeste,SP,Ribeir?o Preto,Atropelamento,Tarde,37,28,3,42.1,Muito ruim,62,Cr?tico
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Colis?o,Tarde,33,25,0,66.2,Ruim,57,Grave
2015,3,2015-03-01,Sudeste,RJ,Niter?i,Atropelamento,Manh?,25,20,1,24.9,Moderada,38,Cr?tico
2015,3,2015-03-01,Sudeste,RJ,Nova Igua?u,Colis?o,Manh?,28,13,1,31.4,Ruim,52,Cr?tico
2015,3,2015-03-01,Sudeste,RJ,Petr?polis,Capotamento,Manh?,27,22,0,39.6,Moderada,45,Grave
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Colis?o,Manh?,29,20,1,7.5,Boa,61,Cr?tico
2015,3,2015-03-01,Sudeste,MG,Uberl?ndia,Atropelamento,Tarde,25,18,2,0.0,Ruim,51,Cr?tico
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Sa?da de pista,Noite,30,14,0,47.6,Moderada,63,Moderado
2015,3,2015-03-01,Sudeste,ES,Vit?ria,Atropelamento,Manh?,11,9,1,0.0,Ruim,16,Grave
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Atropelamento,Tarde,13,13,0,50.7,Muito ruim,26,Moderado
2015,3,2015-03-01,Sudeste,ES,Serra,Atropelamento,Noite,19,15,2,79.1,Moderada,28,Cr?tico
2015,3,2015-03-01,Sul,PR,Curitiba,Colis?o,Manh?,22,18,0,37.2,Boa,39,Moderado
2015,3,2015-03-01,Sul,PR,Londrina,Sa?da de pista,Noite,23,10,1,22.4,Boa,33,Grave
2015,3,2015-03-01,Sul,SC,Florian?polis,Atropelamento,Tarde,15,11,1,52.1,Ruim,21,Grave
2015,3,2015-03-01,Sul,SC,Joinville,Colis?o,Tarde,11,5,0,24.8,Ruim,17,Leve
2015,3,2015-03-01,Sul,RS,Porto Alegre,Sa?da de pista,Madrugada,21,10,1,37.0,Boa,40,Grave
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Atropelamento,Madrugada,15,14,1,77.6,Ruim,26,Grave
2015,4,2015-04-01,Norte,AM,Manaus,Colis?o,Tarde,19,11,0,2.2,Boa,29,Leve
2015,4,2015-04-01,Norte,PA,Bel?m,Sa?da de pista,Noite,19,14,1,69.8,Muito ruim,34,Cr?tico
2015,4,2015-04-01,Norte,PA,Santar?m,Colis?o,Noite,24,16,1,68.7,Moderada,41,Cr?tico
2015,4,2015-04-01,Norte,RO,Porto Velho,Capotamento,Manh?,15,7,0,23.1,Boa,22,Leve
2015,4,2015-04-01,Norte,TO,Palmas,Capotamento,Madrugada,13,7,1,24.8,Boa,26,Grave
2015,4,2015-04-01,Nordeste,BA,Salvador,Sa?da de pista,Madrugada,17,9,1,9.7,Moderada,36,Grave
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Capotamento,Tarde,16,12,0,23.3,Muito ruim,26,Moderado
2015,4,2015-04-01,Nordeste,PE,Recife,Atropelamento,Manh?,8,7,0,48.9,Muito ruim,14,Leve
2015,4,2015-04-01,Nordeste,PE,Jaboat?o dos Guararapes,Capotamento,Manh?,12,10,0,13.9,Boa,23,Leve
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Colis?o,Noite,20,14,1,25.8,Moderada,38,Cr?tico
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Atropelamento,Tarde,17,15,0,49.0,Ruim,34,Moderado
2015,4,2015-04-01,Nordeste,MA,S?o Lu?s,Colis?o,Tarde,17,12,1,0.1,Boa,36,Grave
2015,4,2015-04-01,Nordeste,PB,Jo?o Pessoa,Colis?o,Manh?,21,13,0,62.8,Ruim,36,Moderado
2015,4,2015-04-01,Centro-Oeste,DF,Bras?lia,Capotamento,Noite,9,4,1,14.6,Ruim,13,Moderado
2015,4,2015-04-01,Centro-Oeste,GO,Goi?nia,Colis?o,Noite,21,12,0,35.8,Boa,29,Moderado
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goi?nia,Capotamento,Madrugada,8,5,1,0,Ruim,15,Moderado
2015,4,2015-04-01,Centro-Oeste,MT,Cuiab?,Capotamento,Tarde,12,7,0,34.6,Boa,16,Leve
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Atropelamento,Madrugada,10,6,1,17.1,Moderada,21,Grave
2015,4,2015-04-01,Sudeste,SP,S?o Paulo,Colis?o,Tarde,40,21,0,84.4,Moderada,64,Grave
2015,4,2015-04-01,Sudeste,SP,Campinas,Colis?o,Madrugada,35,17,0,12.5,Moderada,59,Grave
2015,4,2015-04-01,Sudeste,SP,Ribeir?o Preto,Sa?da de pista,Madrugada,34,21,1,24.4,Boa,47,Cr?tico
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Colis?o,Manh?,36,24,1,70.8,Ruim,67,Cr?tico
2015,4,2015-04-01,Sudeste,RJ,Niter?i,Colis?o,Tarde,34,27,0,58.6,Moderada,72,Grave
2015,4,2015-04-01,Sudeste,RJ,Nova Igua?u,Atropelamento,Tarde,18,10,0,28.3,Moderada,34,Leve
2015,4,2015-04-01,Sudeste,RJ,Petr?polis,Atropelamento,Madrugada,25,19,0,0.0,Moderada,37,Moderado
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Colis?o,Tarde,25,12,0,31.2,Boa,53,Moderado
2015,4,2015-04-01,Sudeste,MG,Uberl?ndia,Atropelamento,Madrugada,26,17,2,38.6,Ruim,38,Cr?tico
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Capotamento,Manh?,20,15,0,0.0,Ruim,34,Moderado
2015,4,2015-04-01,Sudeste,ES,Vit?ria,Colis?o,Manh?,23,17,0,32.7,Boa,45,Moderado
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Sa?da de pista,Tarde,18,12,1,38.9,Boa,35,Grave
2015,4,2015-04-01,Sudeste,ES,Serra,Colis?o,Noite,22,17,1,21.0,Boa,45,Cr?tico
2015,4,2015-04-01,Sul,PR,Curitiba,Colis?o,Tarde,13,6,0,0,Muito ruim,27,Leve
2015,4,2015-04-01,Sul,PR,Londrina,Atropelamento,Madrugada,15,9,0,3.5,Ruim,31,Leve
2015,4,2015-04-01,Sul,SC,Florian?polis,Colis?o,Tarde,18,8,1,10.4,Moderada,26,Grave
2015,4,2015-04-01,Sul,SC,Joinville,Atropelamento,Noite,15,14,1,0,Ruim,21,Grave
2015,4,2015-04-01,Sul,RS,Porto Alegre,Capotamento,Tarde,5,3,0,27.0,Moderada,7,Leve
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Atropelamento,Noite,15,9,0,11.6,Moderada,31,Leve
2015,5,2015-05-01,Norte,AM,Manaus,Atropelamento,Manh?,19,13,0,51.6,Moderada,38,Moderado
2015,5,2015-05-01,Norte,PA,Bel?m,Atropelamento,Tarde,11,10,1,1.7,Ruim,21,Grave
2015,5,2015-05-01,Norte,PA,Santar?m,Colis?o,Noite,23,13,1,49.2,Moderada,39,Cr?tico
2015,5,2015-05-01,Norte,RO,Porto Velho,Atropelamento,Madrugada,23,21,1,94.1,Boa,40,Cr?tico
2015,5,2015-05-01,Norte,TO,Palmas,Capotamento,Noite,9,8,0,5.2,Ruim,14,Leve
2015,5,2015-05-01,Nordeste,BA,Salvador,Capotamento,Noite,17,9,0,35.8,Moderada,25,Leve
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Sa?da de pista,Manh?,23,15,0,44.6,Ruim,39,Moderado
2015,5,2015-05-01,Nordeste,PE,Recife,Sa?da de pista,Madrugada,19,13,0,47.7,Boa,32,Moderado
2015,5,2015-05-01,Nordeste,PE,Jaboat?o dos Guararapes,Colis?o,Tarde,20,16,1,6.4,Muito ruim,40,Cr?tico
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Atropelamento,Noite,18,12,1,16.4,Muito ruim,30,Cr?tico
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Colis?o,Madrugada,18,11,0,70.3,Moderada,38,Leve
2015,5,2015-05-01,Nordeste,MA,S?o Lu?s,Capotamento,Madrugada,16,9,1,34.7,Muito ruim,23,Grave
2015,5,2015-05-01,Nordeste,PB,Jo?o Pessoa,Colis?o,Madrugada,28,22,0,29.5,Ruim,60,Grave
2015,5,2015-05-01,Centro-Oeste,DF,Bras?lia,Colis?o,Manh?,13,7,0,16.7,Moderada,26,Leve
2015,5,2015-05-01,Centro-Oeste,GO,Goi?nia,Capotamento,Manh?,8,7,0,43.0,Ruim,15,Leve
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goi?nia,Colis?o,Manh?,13,8,0,20.8,Moderada,26,Leve
2015,5,2015-05-01,Centro-Oeste,MT,Cuiab?,Colis?o,Tarde,22,10,1,26.6,Boa,36,Grave
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Capotamento,Manh?,17,12,1,36.1,Moderada,35,Grave
2015,5,2015-05-01,Sudeste,SP,S?o Paulo,Colis?o,Noite,34,27,0,0.0,Muito ruim,47,Cr?tico
2015,5,2015-05-01,Sudeste,SP,Campinas,Colis?o,Noite,46,32,3,27.3,Moderada,96,Cr?tico
2015,5,2015-05-01,Sudeste,SP,Ribeir?o Preto,Colis?o,Tarde,40,20,2,73.8,Ruim,74,Cr?tico
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Colis?o,Tarde,31,23,1,38.1,Moderada,64,Cr?tico
2015,5,2015-05-01,Sudeste,RJ,Niter?i,Colis?o,Tarde,26,16,0,17.1,Ruim,38,Moderado
2015,5,2015-05-01,Sudeste,RJ,Nova Igua?u,Sa?da de pista,Manh?,24,16,0,18.8,Boa,51,Moderado
2015,5,2015-05-01,Sudeste,RJ,Petr?polis,Sa?da de pista,Noite,32,23,1,68.6,Ruim,58,Cr?tico
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Colis?o,Tarde,24,18,1,37.8,Moderada,37,Cr?tico
2015,5,2015-05-01,Sudeste,MG,Uberl?ndia,Capotamento,Noite,22,19,2,57.2,Ruim,30,Cr?tico
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Colis?o,Manh?,30,18,0,42.3,Moderada,42,Moderado
2015,5,2015-05-01,Sudeste,ES,Vit?ria,Atropelamento,Madrugada,20,19,0,32.7,Moderada,34,Moderado
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Capotamento,Manh?,24,11,0,60.3,Moderada,36,Moderado
2015,5,2015-05-01,Sudeste,ES,Serra,Colis?o,Madrugada,27,20,1,0.0,Moderada,37,Cr?tico
2015,5,2015-05-01,Sul,PR,Curitiba,Atropelamento,Manh?,12,7,1,0.8,Muito ruim,23,Grave
2015,5,2015-05-01,Sul,PR,Londrina,Colis?o,Manh?,23,11,1,61.4,Ruim,39,Grave
2015,5,2015-05-01,Sul,SC,Florian?polis,Capotamento,Noite,13,6,0,33.2,Boa,18,Leve
2015,5,2015-05-01,Sul,SC,Joinville,Colis?o,Noite,27,19,1,33.5,Moderada,48,Cr?tico
2015,5,2015-05-01,Sul,RS,Porto Alegre,Colis?o,Madrugada,22,13,1,48.4,Muito ruim,45,Cr?tico
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Colis?o,Manh?,17,11,0,48.5,Muito ruim,34,Moderado
2015,6,2015-06-01,Norte,AM,Manaus,Colis?o,Tarde,22,14,1,58.8,Moderada,35,Cr?tico
2015,6,2015-06-01,Norte,PA,Bel?m,Atropelamento,Manh?,11,9,0,1.8,Boa,19,Leve
2015,6,2015-06-01,Norte,PA,Santar?m,Atropelamento,Madrugada,18,13,1,17.2,Moderada,34,Grave
2015,6,2015-06-01,Norte,RO,Porto Velho,Colis?o,Manh?,12,6,0,19.3,Boa,18,Leve
2015,6,2015-06-01,Norte,TO,Palmas,Atropelamento,Manh?,9,6,1,68.2,Ruim,18,Grave
2015,6,2015-06-01,Nordeste,BA,Salvador,Colis?o,Manh?,21,10,0,22.4,Boa,43,Leve
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Colis?o,Tarde,22,11,0,40.9,Muito ruim,37,Moderado
2015,6,2015-06-01,Nordeste,PE,Recife,Colis?o,Manh?,26,12,1,48.1,Moderada,39,Cr?tico
2015,6,2015-06-01,Nordeste,PE,Jaboat?o dos Guararapes,Colis?o,Madrugada,23,12,1,27.5,Boa,47,Cr?tico
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Capotamento,Noite,19,11,0,22.5,Ruim,33,Leve
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Atropelamento,Madrugada,24,14,1,53.5,Ruim,51,Cr?tico
2015,6,2015-06-01,Nordeste,MA,S?o Lu?s,Sa?da de pista,Noite,17,8,0,8.1,Moderada,34,Leve
2015,6,2015-06-01,Nordeste,PB,Jo?o Pessoa,Colis?o,Manh?,19,10,0,25.4,Boa,38,Leve
2015,6,2015-06-01,Centro-Oeste,DF,Bras?lia,Atropelamento,Noite,16,11,1,0,Boa,29,Grave
2015,6,2015-06-01,Centro-Oeste,GO,Goi?nia,Colis?o,Manh?,23,16,1,28.9,Ruim,40,Cr?tico
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goi?nia,Atropelamento,Noite,20,19,1,67.3,Moderada,41,Cr?tico
2015,6,2015-06-01,Centro-Oeste,MT,Cuiab?,Sa?da de pista,Madrugada,10,7,0,4.1,Moderada,14,Leve
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,Colis?o,Noite,24,19,0,18.8,Moderada,43,Moderado
2015,6,2015-06-01,Sudeste,SP,S?o Paulo,Colis?o,Noite,33,22,2,0.0,Moderada,57,Cr?tico
2015,6,2015-06-01,Sudeste,SP,Campinas,Colis?o,Manh?,31,24,0,0.0,Ruim,56,Grave
2015,6,2015-06-01,Sudeste,SP,Ribeir?o Preto,Atropelamento,Noite,29,15,1,28.1,Muito ruim,53,Cr?tico
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,Colis?o,Noite,39,32,2,42.0,Moderada,59,Cr?tico
2015,6,2015-06-01,Sudeste,RJ,Niter?i,Atropelamento,Tarde,31,18,2,64.3,Moderada,62,Cr?tico
2015,6,2015-06-01,Sudeste,RJ,Nova Igua?u,Sa?da de pista,Tarde,22,10,1,11.2,Ruim,46,Grave
2015,6,2015-06-01,Sudeste,RJ,Petr?polis,Capotamento,Noite,26,14,1,29.4,Boa,44,Cr?tico
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,Atropelamento,Noite,22,19,2,0.0,Ruim,35,Cr?tico
2015,6,2015-06-01,Sudeste,MG,Uberl?ndia,Atropelamento,Noite,29,17,1,38.0,Boa,57,Cr?tico
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,Colis?o,Manh?,24,10,1,25.3,Boa,40,Grave
2015,6,2015-06-01,Sudeste,ES,Vit?ria,Atropelamento,Madrugada,16,14,1,19.5,Moderada,28,Grave
2015,6,2015-06-01,Sudeste,ES,Vila Velha,Colis?o,Noite,30,24,0,49.7,Boa,61,Grave
2015,6,2015-06-01,Sudeste,ES,Serra,Sa?da de pista,Noite,24,15,1,72.2,Moderada,45,Cr?tico
2015,6,2015-06-01,Sul,PR,Curitiba,Atropelamento,Manh?,18,16,1,31.2,Boa,33,Cr?tico
2015,6,2015-06-01,Sul,PR,Londrina,Atropelamento,Noite,19,15,1,28.9,Boa,30,Cr?tico
2015,6,2015-06-01,Sul,SC,Florian?polis,Colis?o,Tarde,16,11,0,33.7,Moderada,25,Leve
2015,6,2015-06-01,Sul,SC,Joinville,Colis?o,Manh?,17,9,0,11.8,Boa,24,Leve
2015,6,2015-06-01,Sul,RS,Porto Alegre,Colis?o,Noite,22,17,1,34.4,Muito ruim,42,Cr?tico
2015,6,2015-06-01,Sul,RS,Caxias do Sul,Colis?o,Noite,28,22,2,28.4,Moderada,57,Cr?tico
